"t","Ta","Ps","Ph","yTi","TimeDate"
31.5,2.93086310344828,-0.00320432310344828,5.15266666666667,17.8269841610741,2009-02-06 21:56:00
31.5833333333333,2.921335,-0.00324333714285714,5.18066666666667,18.023828640553,2009-02-06 22:01:00
31.6666666666667,2.9197,-0.00316791,0.488666666666667,18.2270765824268,2009-02-06 22:06:00
31.75,2.89771862068966,-0.00316791,0.0393333333333333,18.3354414758367,2009-02-06 22:11:00
31.8333333333333,2.87066,-0.00324333714285714,0.044,18.3156238373849,2009-02-06 22:16:00
31.9166666666667,2.850495,-0.00316791,0.0413333333333333,18.2295978043091,2009-02-06 22:21:00
32,2.88918714285714,-0.00324333714285714,0.0453333333333333,18.1134575353309,2009-02-06 22:26:00
32.0833333333333,2.88877413793103,-0.00338638862068966,0.0473333333333333,17.9908670017723,2009-02-06 22:31:00
32.1666666666667,2.82106535714286,-0.003431905,0.044,17.8662877137103,2009-02-06 22:36:00
32.25,2.72569964285714,-0.00320562357142857,0.0433333333333333,17.7412019429493,2009-02-06 22:41:00
32.3333333333333,2.68146275862069,-0.00334997551724138,0.042,17.6180944930424,2009-02-06 22:46:00
32.4166666666667,2.5725675,-0.00316791,0.0413333333333333,17.5035096706577,2009-02-06 22:51:00
32.5,2.49028,-0.00324333714285714,0.0413333333333333,17.3970926772456,2009-02-06 22:56:00
32.5833333333333,2.43578107142857,-0.00316791,0.0413333333333333,17.2954676002911,2009-02-06 23:01:00
32.6666666666667,2.32840620689655,-0.00320432310344828,0.038,17.1990694909592,2009-02-06 23:06:00
32.75,2.27229642857143,-0.00320562357142857,0.044,17.1061627714286,2009-02-06 23:11:00
32.8333333333333,2.24505,-0.00316791,0.046,17.0188997266301,2009-02-06 23:16:00
32.9166666666667,2.21001965517241,-0.00316791,0.0473333333333333,16.9329064604903,2009-02-06 23:21:00
33,2.190005,-0.00324333714285714,4.88466666666667,16.8464568749034,2009-02-06 23:26:00
33.0833333333333,2.18183,-0.00328105071428571,5.134,16.8361460177658,2009-02-06 23:31:00
33.1666666666667,2.18791896551724,-0.00320432310344828,5.12533333333333,16.972388430687,2009-02-06 23:36:00
33.25,2.182375,-0.00320562357142857,5.11933333333333,17.1690525003611,2009-02-06 23:41:00
33.3333333333333,2.179105,-0.00328105071428571,5.10733333333333,17.3807110080037,2009-02-06 23:46:00
33.4166666666667,2.17792103448276,-0.00320432310344828,5.11466666666667,17.5939773187651,2009-02-06 23:51:00
33.5,2.172565,-0.00316791,5.11933333333333,17.7994644743561,2009-02-06 23:56:00
33.5833333333333,2.170385,-0.00320562357142857,5.13866666666667,17.9838515818125,2009-02-07 00:01:00
33.6666666666667,2.18107827586207,-0.00320432310344828,0.506,18.1498765997853,2009-02-07 00:06:00
33.75,2.18292,-0.00320562357142857,0.044,18.212339380317,2009-02-07 00:11:00
33.8333333333333,2.176925,-0.00331876428571429,0.044,18.1395280312125,2009-02-07 00:16:00
33.9166666666667,2.16476620689655,-0.00324073620689655,0.0406666666666667,18.007916021001,2009-02-07 00:21:00
34,2.15403928571429,-0.003431905,0.048,17.8552677443235,2009-02-07 00:26:00
34.0833333333333,2.17856,-0.00328105071428571,0.042,17.6914932244367,2009-02-07 00:31:00
34.1666666666667,2.15740275862069,-0.0033135624137931,0.0413333333333333,17.5235856527482,2009-02-07 00:36:00
34.25,2.13279,-0.00331876428571429,0.04,17.3707545494624,2009-02-07 00:41:00
34.3333333333333,2.110445,-0.00331876428571429,0.0466666666666667,17.2284450315148,2009-02-07 00:46:00
34.4166666666667,2.09321172413793,-0.00327714931034483,0.044,17.0918795065405,2009-02-07 00:51:00
34.5,2.0554,-0.00331876428571429,0.0433333333333333,16.9611198754487,2009-02-07 00:56:00
34.5833333333333,2.04450035714286,-0.00320562357142857,0.0413333333333333,16.8390852090688,2009-02-07 01:01:00
34.6666666666667,2.03196892857143,-0.00320562357142857,4.78133333333333,16.7263208721777,2009-02-07 01:06:00
34.75,2.03427965517241,-0.0033135624137931,5.16266666666667,16.6867805913796,2009-02-07 01:11:00
34.8333333333333,2.02870142857143,-0.00331876428571429,5.154,16.7955081114393,2009-02-07 01:16:00
34.9166666666667,2.0379625,-0.00328105071428571,5.14066666666667,16.9794440980908,2009-02-07 01:21:00
35,2.07005862068966,-0.00324073620689655,0.547333333333333,17.1680743412681,2009-02-07 01:26:00
35.0833333333333,2.09355,-0.00331876428571429,0.042,17.2678329698009,2009-02-07 01:31:00
35.1666666666667,2.101725,-0.00320562357142857,0.0393333333333333,17.2342855463222,2009-02-07 01:36:00
35.25,2.0674275862069,-0.00327714931034483,0.0386666666666667,17.1440225820803,2009-02-07 01:41:00
35.3333333333333,2.04286607142857,-0.00331876428571429,4.72266666666667,17.0227949818319,2009-02-07 01:46:00
35.4166666666667,2.01562392857143,-0.00335647785714286,5.15533333333333,16.9616753259298,2009-02-07 01:51:00
35.5,1.97039,-0.00339419142857143,5.14466666666667,17.0444554088808,2009-02-07 01:56:00
35.5833333333333,1.89589896551724,-0.00353204103448276,5.16533333333333,17.1912638233288,2009-02-07 02:01:00
35.6666666666667,1.84505,-0.00320562357142857,0.545333333333333,17.3531255583388,2009-02-07 02:06:00
35.75,1.80960620689655,-0.00324073620689655,0.0393333333333333,17.4287035189961,2009-02-07 02:11:00
35.8333333333333,1.75513178571429,-0.00324333714285714,0.0406666666666667,17.3783126530838,2009-02-07 02:16:00
35.9166666666667,1.69028035714286,-0.00335647785714286,0.0413333333333333,17.2662837586171,2009-02-07 02:21:00
36,1.62597896551724,-0.00316791,0.0413333333333333,17.1328943369724,2009-02-07 02:26:00
36.0833333333333,1.57475,-0.00324333714285714,0.0406666666666667,16.9925181183389,2009-02-07 02:31:00
36.1666666666667,1.54641035714286,-0.00316791,0.0446666666666667,16.8528833845209,2009-02-07 02:36:00
36.25,1.49285896551724,-0.00316791,0.042,16.7159236616633,2009-02-07 02:41:00
36.3333333333333,1.463035,-0.00316791,4.72866666666667,16.5898106035473,2009-02-07 02:46:00
36.4166666666667,1.448865,-0.00320562357142857,5.16733333333333,16.5425532367082,2009-02-07 02:51:00
36.5,1.45181551724138,-0.00316791,5.16133333333333,16.638912646728,2009-02-07 02:56:00
36.5833333333333,1.4723,-0.00316791,5.14266666666667,16.8098553966722,2009-02-07 03:01:00
36.6666666666667,1.50390785714286,-0.00316791,5.18466666666667,17.0053202138573,2009-02-07 03:06:00
36.75,1.54494413793103,-0.00316791,5.178,17.2032251555223,2009-02-07 03:11:00
36.8333333333333,1.561125,-0.00316791,5.196,17.3978807772667,2009-02-07 03:16:00
36.9166666666667,1.51262571428571,-0.00316791,5.18866666666667,17.5800266476293,2009-02-07 03:21:00
37,1.45865620689655,-0.00316791,5.19866666666667,17.7548321637654,2009-02-07 03:26:00
37.0833333333333,1.43742,-0.00316791,5.19133333333333,17.9187027402832,2009-02-07 03:31:00
37.1666666666667,1.446685,-0.00316791,5.18266666666667,18.0697027133399,2009-02-07 03:36:00
